Ticker,Holdings,CUSIP,SEDOL,% of fund,Shares,Market value
JPM,JPMorgan Chase & Co.,46625H100,2190385,1.46,65356751.00,20615479968.00
LLY,Eli Lilly & Co.,532457108,2516152,1.06,19592726.00,14949249938.00
V,Visa Inc. Class A,92826C839,B2PZN04,0.99,40858773.00,13948367927.00
NFLX,Netflix Inc.,64110L106,2857817,0.89,10472201.00,12555331223.00
XOM,Exxon Mobil Corp.,30231G102,2326618,0.84,105049274.00,11844305644.00
MA,Mastercard Inc. Class A,57636Q104,B121557,0.82,20344780.00,11572314312.00
ORCL,Oracle Corp.,68389X105,2661568,0.81,40843242.00,11486753380.00
WMT,Walmart Inc.,931142103,2936921,0.79,108171583.00,11148163344.00
JNJ,Johnson & Johnson,478160104,2475833,0.78,59348623.00,11004421677.00
PLTR,Palantir Technologies Inc. Class A,69608A108,BN78DQ4,0.72,56043699.00,10223491572.00
Others,,,,90.84,,
